"Label (Grouping)","Total:","Total:!!Black or African American alone"
"    Estimate","2,682","594"
"Census Tract 2562; Macomb County; Michigan","",""
"    Estimate","2,025","457"
"Census Tract 2563; Macomb County; Michigan","",""
"    Estimate","1,859","608"
"Census Tract 2564; Macomb County; Michigan","",""
"    Estimate","1,301","251"
"Census Tract 2565; Macomb County; Michigan","",""
"    Estimate","1,713","435"
"Census Tract 2566; Macomb County; Michigan","",""
"    Estimate","3,149","818"
"Census Tract 2567; Macomb County; Michigan","",""
"    Estimate","1,924","483"
"Census Tract 2568; Macomb County; Michigan","",""
"    Estimate","1,546","256"
"Census Tract 2580; Macomb County; Michigan","",""
"    Estimate","2,686","1,318"
"Census Tract 2581; Macomb County; Michigan","",""
"    Estimate","3,770","1,478"
"Census Tract 2582; Macomb County; Michigan","",""
"    Estimate","2,668","1,458"
"Census Tract 2583; Macomb County; Michigan","",""
"    Estimate","2,508","950"
"Census Tract 2584; Macomb County; Michigan","",""
"    Estimate","5,712","2,690"
"Census Tract 2585; Macomb County; Michigan","",""
"    Estimate","2,143","1,520"
"Census Tract 2586; Macomb County; Michigan","",""
"    Estimate","4,507","1,993"
"Census Tract 2587; Macomb County; Michigan","",""
"    Estimate","3,034","1,910"
"Census Tract 2588; Macomb County; Michigan","",""
"    Estimate","3,754","2,930"
"Census Tract 2589; Macomb County; Michigan","",""
"    Estimate","3,221","1,806"
"Census Tract 2600; Macomb County; Michigan","",""
"    Estimate","3,290","289"
"Census Tract 2601; Macomb County; Michigan","",""
"    Estimate","2,730","473"
"Census Tract 2602; Macomb County; Michigan","",""
"    Estimate","2,262","52"
"Census Tract 2603; Macomb County; Michigan","",""
"    Estimate","3,156","117"
"Census Tract 2604; Macomb County; Michigan","",""
"    Estimate","4,164","272"
"Census Tract 2606; Macomb County; Michigan","",""
"    Estimate","2,849","49"
"Census Tract 2607; Macomb County; Michigan","",""
"    Estimate","3,062","657"
"Census Tract 2608; Macomb County; Michigan","",""
"    Estimate","2,629","128"
"Census Tract 2609; Macomb County; Michigan","",""
"    Estimate","5,106","499"
"Census Tract 2610; Macomb County; Michigan","",""
"    Estimate","4,730","1,665"
"Census Tract 2611; Macomb County; Michigan","",""
"    Estimate","5,100","1,249"
"Census Tract 2612; Macomb County; Michigan","",""
"    Estimate","2,905","331"
"Census Tract 2613; Macomb County; Michigan","",""
"    Estimate","2,833","281"
"Census Tract 2614; Macomb County; Michigan","",""
"    Estimate","2,709","289"
"Census Tract 2615; Macomb County; Michigan","",""
"    Estimate","3,814","976"
"Census Tract 2616.01; Macomb County; Michigan","",""
"    Estimate","1,369","100"
"Census Tract 2617; Macomb County; Michigan","",""
"    Estimate","2,669","1,400"
"Census Tract 2618; Macomb County; Michigan","",""
"    Estimate","3,058","466"
"Census Tract 2619; Macomb County; Michigan","",""
"    Estimate","2,951","532"
"Census Tract 2620; Macomb County; Michigan","",""
"    Estimate","3,447","460"
"Census Tract 2621; Macomb County; Michigan","",""
"    Estimate","962","35"
"Census Tract 2622; Macomb County; Michigan","",""
"    Estimate","4,745","230"
"Census Tract 2623; Macomb County; Michigan","",""
"    Estimate","3,763","517"
"Census Tract 2624; Macomb County; Michigan","",""
"    Estimate","3,312","375"
"Census Tract 2625; Macomb County; Michigan","",""
"    Estimate","4,834","780"
"Census Tract 2626; Macomb County; Michigan","",""
"    Estimate","2,306","596"
"Census Tract 2627; Macomb County; Michigan","",""
"    Estimate","6,133","1,827"
"Census Tract 2628; Macomb County; Michigan","",""
"    Estimate","2,264","320"
"Census Tract 2629; Macomb County; Michigan","",""
"    Estimate","4,057","965"
"Census Tract 2632; Macomb County; Michigan","",""
"    Estimate","2,578","620"
"Census Tract 2634; Macomb County; Michigan","",""
"    Estimate","3,862","157"
"Census Tract 2635; Macomb County; Michigan","",""
"    Estimate","3,907","266"
"Census Tract 2636; Macomb County; Michigan","",""
"    Estimate","4,921","1,404"
"Census Tract 2637; Macomb County; Michigan","",""
"    Estimate","5,156","2,526"
"Census Tract 2638; Macomb County; Michigan","",""
"    Estimate","2,956","1,622"
"Census Tract 2639; Macomb County; Michigan","",""
"    Estimate","3,602","1,297"
"Census Tract 2640; Macomb County; Michigan","",""
"    Estimate","1,838","838"
"Census Tract 2642; Macomb County; Michigan","",""
"    Estimate","4,701","2,283"
"Census Tract 2676; Macomb County; Michigan","",""
"    Estimate","1,471","222"
"Census Tract 2680; Macomb County; Michigan","",""
"    Estimate","5,943","1,863"
"Census Tract 2681; Macomb County; Michigan","",""
"    Estimate","2,505","633"
"Census Tract 2682; Macomb County; Michigan","",""
"    Estimate","3,702","109"
"Census Tract 2683; Macomb County; Michigan","",""
"    Estimate","2,558","799"
"Census Tract 2684; Macomb County; Michigan","",""
"    Estimate","3,310","891"
"Census Tract 9800; Macomb County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9801; Macomb County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9820.01; Macomb County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9820.02; Macomb County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9821; Macomb County; Michigan","",""
"    Estimate","0","0"
"Census Tract 9822; Macomb County; Michigan","",""
"    Estimate","24","12"
"Census Tract 9823; Macomb County; Michigan","",""
"    Estimate","35","0"
"Census Tract 9901; Macomb County; Michigan","",""
"    Estimate","0","0"
"Census Tract 1200; Oakland County; Michigan","",""
"    Estimate","2,962","14"
"Census Tract 1203; Oakland County; Michigan","",""
"    Estimate","3,284","0"
"Census Tract 1210; Oakland County; Michigan","",""
"    Estimate","3,755","90"
"Census Tract 1214; Oakland County; Michigan","",""
"    Estimate","5,051","111"
"Census Tract 1215; Oakland County; Michigan","",""
"    Estimate","3,478","146"
"Census Tract 1217; Oakland County; Michigan","",""
"    Estimate","5,148","40"
"Census Tract 1218; Oakland County; Michigan","",""
"    Estimate","5,007","41"
"Census Tract 1222; Oakland County; Michigan","",""
"    Estimate","3,416","12"
"Census Tract 1224; Oakland County; Michigan","",""
"    Estimate","6,910","222"
"Census Tract 1227; Oakland County; Michigan","",""
"    Estimate","3,202","5"
"Census Tract 1229; Oakland County; Michigan","",""
"    Estimate","1,834","0"
"Census Tract 1230; Oakland County; Michigan","",""
"    Estimate","2,875","19"
"Census Tract 1231; Oakland County; Michigan","",""
"    Estimate","3,030","0"
"Census Tract 1240; Oakland County; Michigan","",""
"    Estimate","6,207","204"
"Census Tract 1245; Oakland County; Michigan","",""
"    Estimate","5,971","247"
"Census Tract 1250; Oakland County; Michigan","",""
"    Estimate","3,446","0"
"Census Tract 1256; Oakland County; Michigan","",""
"    Estimate","2,714","1"
"Census Tract 1262; Oakland County; Michigan","",""
"    Estimate","2,674","59"
"Census Tract 1263; Oakland County; Michigan","",""
